user_id,age,gender,country,profession,primary_platform,platforms_used_count,daily_usage_hours,sessions_per_day,avg_session_duration_min,preferred_device,peak_usage_time,followers_count,following_count,posts_per_week,likes_given_per_day,comments_per_day,shares_per_day,dms_sent_per_day,preferred_content_type,scroll_speed,ad_click_rate,purchased_via_social_media,monthly_spend_via_social_usd,primary_purpose,sleep_disruption,self_reported_mental_health_score,screen_time_concern,notification_frequency,privacy_setting,influencer_status,account_join_date,mood_while_scrolling,takes_social_media_breaks
USR00017,18,Female,USA,Freelancer,TikTok,5,1.8,3,36.0,Smartphone,Night (9pm-12am),200,248,4,22,9,0,12,Memes,Fast,0.147,No,0.0,News & Updates,No impact,7.1,Somewhat,Selected,Friends Only,No,2024-04-16,Bored,Yes
USR00018,29,Male,Nigeria,Designer,Facebook,3,3.5,7,30.0,Smartphone,Night (9pm-12am),706,169,4,16,3,1,7,Memes,Medium,0.036,No,0.0,Networking,No impact,10.0,Somewhat,Selected,Public,No,2022-11-02,Stressed,No
USR00019,19,Female,Australia,Other,YouTube,3,3.6,3,72.0,Smartphone,Morning (6-10am),1268,249,5,13,5,3,8,Educational,Medium,0.059,No,0.0,Entertainment,Severe impact,5.5,No,Off,Public,No,2023-09-07,Stressed,Occasionally
USR00020,15,Female,Pakistan,Entrepreneur,Instagram,2,3.4,8,25.5,Smartphone,Morning (6-10am),16396,374,3,21,5,3,7,Photos,Medium,0.096,No,0.0,News & Updates,Mild impact,7.0,Yes,Always On,Private,Yes,2024-02-10,Relaxed,Occasionally
USR00021,38,Male,Canada,Doctor,YouTube,5,1.8,1,108.0,Smartphone,Afternoon (12-4pm),252,539,2,22,3,1,8,Videos,Medium,0.408,Sometimes,20.88,Networking,No impact,5.1,Somewhat,Selected,Private,No,2023-01-12,Inspired,Occasionally
USR00022,25,Female,USA,Freelancer,Facebook,1,1.6,5,19.2,Laptop,Morning (6-10am),2682,185,5,15,7,2,10,Memes,Medium,0.083,No,0.0,News & Updates,Mild impact,6.5,Somewhat,Do Not Disturb,Friends Only,No,2024-08-27,Happy,No
USR00023,27,Female,Nigeria,Marketer,TikTok,1,1.9,3,38.0,Laptop,Evening (6-9pm),1153,407,4,27,2,1,6,Photos,Medium,0.01,No,0.0,Networking,No impact,8.2,No,Selected,Public,No,2023-05-09,Neutral,Yes
USR00024,15,Female,Germany,Marketer,Instagram,1,1.4,5,16.8,Smartphone,Evening (6-9pm),6855,1829,1,16,9,2,9,News,Fast,0.07,Yes,15.68,Entertainment,No impact,7.3,Yes,Selected,Public,No,2023-04-07,Happy,Occasionally
USR00025,22,Female,India,Marketer,LinkedIn,1,5.1,5,61.2,Smartphone,Night (9pm-12am),1876,818,0,21,6,5,2,News,Medium,0.083,No,0.0,Entertainment,No impact,6.0,No,Always On,Friends Only,No,2023-09-08,Neutral,Occasionally
USR00026,27,Female,Germany,Other,TikTok,5,2.1,2,63.0,Smartphone,Afternoon (12-4pm),108,4057,3,23,3,0,8,Videos,Medium,0.227,Yes,28.04,Socializing,Moderate impact,6.0,Yes,Selected,Friends Only,No,2022-10-23,Stressed,Occasionally
USR00027,17,Male,Nigeria,Entrepreneur,Instagram,5,2.9,7,24.9,Laptop,Morning (6-10am),29,111,5,18,0,2,5,Memes,Medium,0.077,Sometimes,73.34,News & Updates,No impact,4.0,No,Selected,Friends Only,No,2024-08-06,Neutral,Yes
USR00028,30,Male,USA,Designer,Instagram,2,4.3,2,129.0,Smartphone,Night (9pm-12am),1164,1828,4,20,9,3,12,News,Medium,0.07,Sometimes,1.49,Business/Marketing,Mild impact,8.0,Somewhat,Always On,Friends Only,No,2022-04-29,Inspired,No
USR00029,22,Male,Australia,Student,Snapchat,3,1.3,4,19.5,Laptop,Evening (6-9pm),256,94,9,13,7,1,7,Videos,Medium,0.035,No,0.0,Networking,No impact,7.5,Somewhat,Selected,Public,No,2024-04-25,Happy,Yes
USR00030,24,Female,Pakistan,Researcher,Facebook,5,0.9,5,10.8,Tablet,Morning (6-10am),113,374,1,15,4,3,8,Educational,Medium,0.072,Sometimes,24.98,Networking,Mild impact,3.9,Yes,Always On,Public,No,2024-05-03,Relaxed,No
USR00031,22,Male,UK,Marketer,YouTube,5,1.4,4,21.0,Smartphone,Late Night (12am+),67,589,2,25,1,0,9,News,Slow,0.378,No,0.0,Learning,Mild impact,6.5,Yes,Selected,Public,No,2024-12-21,Relaxed,No
USR00032,41,Male,Pakistan,Marketer,YouTube,3,3.1,4,46.5,Smartphone,Late Night (12am+),888,132,3,21,5,2,10,News,Fast,0.146,Sometimes,0.03,Networking,Mild impact,4.5,Somewhat,Do Not Disturb,Public,No,2022-10-02,Bored,No
USR00033,26,Male,India,Marketer,Twitter/X,4,3.0,5,36.0,Smartphone,Afternoon (12-4pm),10035,271,7,21,5,6,7,Educational,Fast,0.023,No,0.0,Learning,Mild impact,5.4,Yes,Selected,Public,Yes,2024-03-06,Happy,Occasionally
USR00034,18,Female,USA,Marketer,Pinterest,1,3.4,4,51.0,Smartphone,Afternoon (12-4pm),318,729,4,33,2,4,7,Photos,Fast,0.03,No,0.0,Entertainment,Moderate impact,7.7,Somewhat,Always On,Public,No,2023-05-13,Bored,No
USR00035,33,Male,Australia,Designer,TikTok,5,2.4,4,36.0,Smartphone,Late Night (12am+),1924,104,6,16,5,1,11,Memes,Medium,0.123,Sometimes,2.76,Business/Marketing,Moderate impact,8.0,Yes,Do Not Disturb,Friends Only,No,2023-06-07,Stressed,No
USR00036,17,Male,Nigeria,Freelancer,Twitter/X,5,0.5,5,6.0,Laptop,Evening (6-9pm),553,1813,3,22,5,1,12,Photos,Medium,0.043,No,0.0,Networking,Mild impact,7.5,No,Do Not Disturb,Private,No,2023-02-21,Happy,Yes
USR00037,28,Female,Pakistan,Marketer,Snapchat,1,2.4,7,20.6,Desktop,Night (9pm-12am),65,46,4,13,5,2,10,News,Fast,0.041,No,0.0,Business/Marketing,Mild impact,5.7,No,Do Not Disturb,Friends Only,No,2023-11-08,Happy,Yes
USR00038,13,Female,Nigeria,Designer,Facebook,5,4.7,6,47.0,Smartphone,Morning (6-10am),2496,2508,2,15,2,3,8,Stories,Medium,0.282,Sometimes,157.07,Business/Marketing,Moderate impact,7.0,Yes,Do Not Disturb,Private,No,2022-06-11,Bored,No
USR00039,16,Female,Canada,Marketer,Snapchat,3,5.5,6,55.0,Smartphone,Evening (6-9pm),92,813,1,30,2,1,13,Educational,Medium,0.2,Sometimes,47.78,News & Updates,No impact,4.8,No,Do Not Disturb,Friends Only,No,2024-07-10,Stressed,Occasionally
USR00040,28,Female,Pakistan,Other,Facebook,5,2.8,8,21.0,Tablet,Evening (6-9pm),691,219,1,23,5,3,3,Reels/Shorts,Fast,0.108,Sometimes,18.39,News & Updates,Severe impact,7.6,No,Do Not Disturb,Friends Only,No,2024-01-30,Inspired,Yes
USR00041,32,Male,USA,Researcher,YouTube,2,3.0,5,36.0,Smartphone,Night (9pm-12am),359,150,2,24,6,5,10,Entertainment,Medium,0.11,Yes,152.12,News & Updates,Moderate impact,6.2,No,Always On,Public,No,2022-07-09,Inspired,Occasionally
USR00042,28,Male,Brazil,Student,Instagram,5,3.8,2,114.0,Smartphone,Night (9pm-12am),3319,133,1,16,4,0,6,Photos,Medium,0.034,Yes,28.76,Networking,Mild impact,5.3,Yes,Always On,Friends Only,No,2023-01-26,Relaxed,No
USR00043,26,Female,USA,Entrepreneur,TikTok,1,5.4,4,81.0,Smartphone,Night (9pm-12am),99,207,3,21,1,4,9,Photos,Fast,0.168,Sometimes,57.58,Entertainment,Mild impact,4.9,No,Always On,Friends Only,No,2022-04-16,Relaxed,Occasionally
USR00044,24,Male,UK,Marketer,TikTok,3,2.6,6,26.0,Smartphone,Night (9pm-12am),1344,230,1,15,3,2,3,Reels/Shorts,Medium,0.084,No,0.0,Entertainment,No impact,7.4,Somewhat,Selected,Friends Only,No,2023-07-04,Neutral,No
USR00045,15,Male,Canada,Other,Instagram,5,3.8,3,76.0,Smartphone,Afternoon (12-4pm),146,1103,2,17,4,1,8,Reels/Shorts,Fast,0.188,Yes,98.08,Entertainment,No impact,6.0,Yes,Always On,Private,No,2024-02-12,Relaxed,Occasionally
USR00046,21,Female,Canada,Teacher,TikTok,4,1.7,3,34.0,Smartphone,Morning (6-10am),265,2597,2,27,6,4,8,Reels/Shorts,Fast,0.03,Yes,106.66,Networking,Mild impact,5.3,Yes,Do Not Disturb,Private,No,2022-03-22,Relaxed,Occasionally
USR00047,23,Male,Pakistan,Doctor,Instagram,3,1.0,5,12.0,Smartphone,Late Night (12am+),0,310,2,23,3,4,10,Videos,Fast,0.061,Sometimes,69.71,Learning,No impact,5.3,Yes,Selected,Friends Only,No,2022-05-30,Inspired,No
USR00048,35,Female,India,Other,TikTok,3,1.9,5,22.8,Smartphone,Evening (6-9pm),28732,88,5,18,4,2,4,Memes,Fast,0.147,No,0.0,Socializing,No impact,4.0,Yes,Do Not Disturb,Private,Yes,2023-01-21,Inspired,Yes
USR00049,29,Male,USA,Doctor,Facebook,4,6.1,6,61.0,Smartphone,Evening (6-9pm),1791,127,2,18,10,4,3,Videos,Fast,0.028,Yes,0.12,Networking,Severe impact,6.5,Yes,Always On,Friends Only,No,2023-03-21,Relaxed,Occasionally
USR00050,13,Female,UK,Engineer,TikTok,5,3.9,2,117.0,Smartphone,Evening (6-9pm),167,196,5,14,3,1,4,Videos,Medium,0.144,Yes,80.06,News & Updates,No impact,6.7,No,Selected,Public,No,2024-09-08,Stressed,Yes
USR00051,29,Male,Pakistan,Freelancer,TikTok,2,1.1,6,11.0,Smartphone,Night (9pm-12am),87,71,5,20,2,3,10,Stories,Medium,0.045,No,0.0,Learning,Moderate impact,3.5,No,Selected,Friends Only,No,2023-03-04,Bored,Occasionally
USR00052,23,Male,Germany,Researcher,Instagram,1,4.0,4,60.0,Laptop,Night (9pm-12am),272,59,3,23,10,2,4,Reels/Shorts,Fast,0.074,Yes,15.79,Socializing,Mild impact,4.3,Somewhat,Selected,Private,No,2023-11-13,Inspired,Occasionally
USR00053,21,Male,Australia,Designer,TikTok,3,1.1,3,22.0,Smartphone,Night (9pm-12am),2417,3030,4,25,7,1,6,Videos,Medium,0.15,Yes,22.24,News & Updates,Mild impact,3.2,No,Do Not Disturb,Friends Only,No,2023-09-13,Relaxed,No
USR00054,31,Non-binary,India,Teacher,LinkedIn,2,3.3,4,49.5,Smartphone,Late Night (12am+),22,351,2,18,4,2,6,Educational,Medium,0.028,No,0.0,Networking,Moderate impact,8.4,Somewhat,Off,Private,No,2022-02-01,Inspired,Occasionally
USR00055,35,Female,UK,Other,Facebook,1,1.3,2,39.0,Smartphone,Evening (6-9pm),515,90,0,21,4,2,6,News,Fast,0.076,No,0.0,News & Updates,No impact,7.3,Somewhat,Always On,Public,No,2023-03-10,Neutral,Yes
USR00056,34,Female,USA,Marketer,Facebook,1,1.0,6,10.0,Smartphone,Evening (6-9pm),16109,651,1,25,5,2,12,Memes,Fast,0.137,Yes,18.08,News & Updates,Moderate impact,8.2,No,Selected,Public,Yes,2023-01-25,Stressed,Yes
USR00057,20,Male,Pakistan,Teacher,Instagram,5,6.7,8,50.2,Smartphone,Night (9pm-12am),86,59,5,25,4,1,7,News,Medium,0.186,No,0.0,Learning,Moderate impact,9.1,No,Always On,Public,No,2022-08-29,Neutral,Occasionally
USR00058,24,Female,Pakistan,Teacher,YouTube,2,2.1,5,25.2,Smartphone,Afternoon (12-4pm),768,65,5,20,1,6,9,Stories,Slow,0.024,Sometimes,1.13,Entertainment,No impact,7.0,Somewhat,Always On,Friends Only,No,2024-09-07,Neutral,Yes
USR00059,29,Female,India,Freelancer,Instagram,3,3.8,6,38.0,Desktop,Night (9pm-12am),35100,93,5,27,6,2,7,Videos,Medium,0.022,No,0.0,Business/Marketing,Mild impact,6.1,Somewhat,Do Not Disturb,Public,Yes,2023-05-12,Neutral,Occasionally
USR00060,34,Male,Nigeria,Researcher,TikTok,3,2.7,5,32.4,Desktop,Afternoon (12-4pm),2075,1781,2,17,4,2,3,News,Medium,0.086,No,0.0,Business/Marketing,No impact,6.6,No,Off,Private,No,2023-02-23,Stressed,No
USR00061,23,Male,Australia,Entrepreneur,Pinterest,5,1.2,5,14.4,Smartphone,Afternoon (12-4pm),834,180,10,22,4,1,9,Entertainment,Medium,0.104,No,0.0,Learning,Moderate impact,5.0,Yes,Selected,Friends Only,No,2024-03-23,Happy,Yes
USR00062,25,Male,USA,Student,Facebook,3,2.2,6,22.0,Laptop,Evening (6-9pm),1655,13,0,12,2,1,4,Memes,Medium,0.175,Yes,22.72,Learning,Moderate impact,4.8,No,Selected,Public,No,2023-05-06,Neutral,Occasionally
USR00063,18,Prefer not to say,UAE,Marketer,Twitter/X,1,1.2,4,18.0,Smartphone,Evening (6-9pm),323,1045,4,23,2,1,6,Memes,Fast,0.029,No,0.0,News & Updates,Mild impact,5.4,Somewhat,Always On,Public,No,2023-10-21,Relaxed,No
USR00064,17,Female,Australia,Entrepreneur,Facebook,5,9.6,4,144.0,Tablet,Night (9pm-12am),6900,169,1,20,2,2,6,Entertainment,Medium,0.243,Sometimes,52.82,Entertainment,Mild impact,5.8,No,Do Not Disturb,Friends Only,No,2023-08-03,Stressed,Yes
USR00065,33,Male,USA,Teacher,Snapchat,1,4.2,5,50.4,Desktop,Late Night (12am+),324,26,3,24,6,0,11,Reels/Shorts,Medium,0.033,Yes,25.67,Socializing,Mild impact,3.2,Somewhat,Off,Private,No,2024-02-19,Inspired,No
USR00066,37,Female,UK,Engineer,YouTube,1,2.6,5,31.2,Smartphone,Morning (6-10am),19,167,3,13,1,3,3,Stories,Fast,0.062,Sometimes,44.39,News & Updates,Mild impact,4.0,Somewhat,Do Not Disturb,Public,No,2024-08-12,Neutral,Occasionally
USR00067,26,Female,Canada,Entrepreneur,TikTok,4,3.7,4,55.5,Smartphone,Morning (6-10am),328,457,4,23,7,2,10,Videos,Fast,0.07,Sometimes,61.91,News & Updates,Mild impact,3.9,No,Selected,Friends Only,No,2024-12-28,Neutral,Occasionally
USR00068,35,Female,India,Other,Instagram,4,4.1,4,61.5,Tablet,Night (9pm-12am),116,397,1,18,3,4,12,Reels/Shorts,Medium,0.169,Sometimes,48.67,Networking,No impact,3.8,Yes,Selected,Public,No,2024-01-06,Bored,Yes
USR00069,29,Female,Pakistan,Teacher,TikTok,5,4.1,7,35.1,Desktop,Afternoon (12-4pm),400,2117,0,29,2,3,7,Reels/Shorts,Medium,0.137,No,0.0,Networking,No impact,7.3,Yes,Do Not Disturb,Public,No,2023-09-24,Happy,Occasionally
USR00070,21,Male,India,Teacher,TikTok,1,4.0,5,48.0,Smartphone,Evening (6-9pm),417,87,4,12,4,1,11,Videos,Fast,0.06,Yes,21.25,Business/Marketing,Moderate impact,5.6,No,Off,Friends Only,No,2023-06-20,Bored,Yes
USR00071,29,Female,Nigeria,Other,Instagram,5,3.8,4,57.0,Smartphone,Evening (6-9pm),5740,258,3,16,10,1,8,Videos,Slow,0.091,Sometimes,37.25,Learning,Mild impact,5.9,Yes,Off,Private,No,2024-01-07,Happy,Yes
USR00072,39,Male,Pakistan,Researcher,LinkedIn,4,2.8,3,56.0,Smartphone,Night (9pm-12am),2325,105,5,20,3,4,11,Educational,Fast,0.112,Sometimes,48.26,Learning,Mild impact,6.9,Yes,Selected,Private,No,2024-11-16,Inspired,Occasionally
USR00073,26,Female,Canada,Student,Snapchat,5,6.4,9,42.7,Laptop,Morning (6-10am),1068,38,4,22,4,0,6,Photos,Slow,0.253,Sometimes,16.29,Entertainment,Mild impact,7.7,Yes,Always On,Friends Only,No,2024-10-15,Neutral,Yes
USR00074,39,Male,UK,Student,TikTok,2,2.9,6,29.0,Smartphone,Night (9pm-12am),661,708,2,28,6,2,8,Reels/Shorts,Slow,0.039,Sometimes,52.71,Business/Marketing,Mild impact,7.0,No,Selected,Public,No,2024-08-12,Stressed,No
USR00075,13,Male,UK,Marketer,Facebook,5,2.7,6,27.0,Smartphone,Night (9pm-12am),98,426,4,16,5,2,10,Stories,Fast,0.15,No,0.0,Business/Marketing,No impact,9.1,Somewhat,Always On,Friends Only,No,2022-07-21,Neutral,No
USR00076,33,Female,Australia,Doctor,TikTok,2,2.9,4,43.5,Desktop,Evening (6-9pm),13,343,0,20,4,2,8,News,Medium,0.12,No,0.0,Entertainment,Mild impact,6.3,Yes,Always On,Friends Only,No,2024-08-19,Stressed,Occasionally
USR00077,27,Male,UAE,Marketer,LinkedIn,5,3.1,7,26.6,Smartphone,Night (9pm-12am),815,408,1,23,3,1,8,Stories,Medium,0.104,No,0.0,Networking,Mild impact,6.6,No,Always On,Public,No,2023-10-18,Relaxed,Occasionally
USR00078,24,Male,USA,Entrepreneur,Twitter/X,2,0.7,6,7.0,Smartphone,Evening (6-9pm),2780,107,4,23,4,4,4,News,Fast,0.163,No,0.0,Entertainment,Moderate impact,5.1,Yes,Do Not Disturb,Friends Only,No,2023-02-21,Happy,No
USR00079,27,Male,Canada,Engineer,TikTok,2,1.4,6,14.0,Smartphone,Evening (6-9pm),547,73,0,23,4,5,5,Photos,Fast,0.066,Yes,28.83,Business/Marketing,Mild impact,2.8,Yes,Do Not Disturb,Public,No,2024-01-30,Neutral,Occasionally
USR00080,13,Male,Pakistan,Teacher,TikTok,2,2.4,2,72.0,Smartphone,Late Night (12am+),253,255,6,22,5,1,6,Reels/Shorts,Slow,0.031,Sometimes,1.43,Business/Marketing,No impact,6.3,No,Always On,Private,No,2023-10-03,Stressed,No
USR00081,25,Female,UK,Entrepreneur,Twitter/X,2,0.6,6,6.0,Smartphone,Evening (6-9pm),1534,985,4,24,3,3,15,Photos,Slow,0.218,Yes,104.45,Business/Marketing,Moderate impact,7.8,No,Always On,Public,No,2024-04-27,Relaxed,Occasionally
USR00082,29,Female,UK,Engineer,TikTok,3,2.6,4,39.0,Laptop,Evening (6-9pm),572,1685,6,25,3,2,8,Entertainment,Fast,0.138,Yes,50.55,Socializing,Mild impact,4.9,No,Off,Friends Only,No,2022-04-04,Relaxed,Occasionally
USR00083,38,Male,Australia,Engineer,Facebook,3,3.0,7,25.7,Smartphone,Evening (6-9pm),13826,635,4,20,5,2,7,Stories,Medium,0.104,No,0.0,Entertainment,Severe impact,5.3,Somewhat,Always On,Public,Yes,2023-03-30,Bored,Occasionally
USR00084,22,Male,Pakistan,Other,Snapchat,5,0.9,8,6.8,Smartphone,Night (9pm-12am),6117,253,4,16,3,3,5,Photos,Fast,0.13,Sometimes,42.27,Learning,Severe impact,7.9,Yes,Selected,Friends Only,No,2022-10-26,Bored,Yes
USR00085,20,Male,Pakistan,Freelancer,TikTok,4,1.7,6,17.0,Laptop,Late Night (12am+),3741,338,0,21,5,2,10,Entertainment,Fast,0.057,No,0.0,Learning,Moderate impact,6.1,Somewhat,Always On,Friends Only,No,2022-02-03,Stressed,No
USR00086,22,Female,India,Researcher,Instagram,1,5.6,3,112.0,Desktop,Evening (6-9pm),2601,248,2,21,4,3,9,Memes,Medium,0.052,Yes,34.11,Socializing,No impact,4.5,No,Always On,Friends Only,No,2023-06-19,Bored,No
USR00087,34,Female,Australia,Engineer,Pinterest,3,3.7,4,55.5,Laptop,Morning (6-10am),65,71,3,19,1,1,11,News,Slow,0.068,Sometimes,90.39,Business/Marketing,No impact,4.5,No,Selected,Public,No,2024-05-05,Bored,Occasionally
USR00088,29,Male,Pakistan,Student,Twitter/X,2,3.6,5,43.2,Tablet,Night (9pm-12am),2193,252,1,33,4,1,6,Videos,Medium,0.06,No,0.0,Networking,Moderate impact,7.4,Yes,Selected,Private,No,2023-08-28,Happy,No
USR00089,22,Female,Pakistan,Engineer,Instagram,3,5.2,3,104.0,Smartphone,Evening (6-9pm),1309,49,2,21,7,0,7,Educational,Fast,0.271,No,0.0,Entertainment,Mild impact,6.0,Somewhat,Selected,Friends Only,No,2022-11-09,Bored,No
USR00090,31,Female,India,Entrepreneur,Instagram,2,1.4,5,16.8,Smartphone,Night (9pm-12am),1981,210,3,20,4,2,7,Entertainment,Medium,0.177,Sometimes,17.32,Networking,No impact,5.9,Yes,Always On,Private,No,2023-02-06,Inspired,Yes
USR00091,27,Male,USA,Designer,Instagram,4,1.0,8,7.5,Desktop,Late Night (12am+),1614,1742,2,22,3,1,9,Stories,Fast,0.089,No,0.0,Socializing,No impact,3.7,No,Always On,Public,No,2023-11-07,Relaxed,Yes
USR00092,34,Female,Brazil,Other,Facebook,3,4.8,8,36.0,Tablet,Evening (6-9pm),1502,656,3,24,8,1,4,Stories,Medium,0.202,Sometimes,5.46,Entertainment,Mild impact,7.1,Somewhat,Selected,Public,No,2023-04-17,Bored,No
USR00093,21,Male,USA,Freelancer,YouTube,1,2.5,5,30.0,Laptop,Evening (6-9pm),85953,80,1,25,4,2,8,Entertainment,Medium,0.261,Yes,2.34,Learning,Moderate impact,8.1,No,Always On,Private,Yes,2024-02-17,Inspired,Yes
USR00094,24,Female,India,Marketer,Twitter/X,1,1.4,5,16.8,Laptop,Night (9pm-12am),579,224,4,22,8,2,13,Reels/Shorts,Slow,0.131,Yes,17.3,Entertainment,Mild impact,5.5,No,Off,Friends Only,No,2023-05-19,Relaxed,Yes
USR00095,23,Female,UK,Marketer,Instagram,3,0.7,8,5.2,Smartphone,Afternoon (12-4pm),3588,89,2,22,2,1,10,Entertainment,Medium,0.099,No,0.0,Business/Marketing,Mild impact,6.9,Yes,Always On,Friends Only,No,2024-10-19,Neutral,Occasionally
USR00096,15,Female,Brazil,Researcher,TikTok,3,2.9,5,34.8,Smart TV,Night (9pm-12am),284,227,1,17,9,2,1,Reels/Shorts,Medium,0.188,No,0.0,Business/Marketing,Moderate impact,5.5,No,Selected,Friends Only,No,2023-11-23,Bored,Yes
USR00097,29,Female,UK,Engineer,Pinterest,1,2.3,4,34.5,Desktop,Night (9pm-12am),2760,853,4,30,1,0,6,Memes,Medium,0.088,No,0.0,Learning,Moderate impact,7.3,No,Always On,Friends Only,No,2023-06-12,Inspired,Yes
USR00098,29,Female,Germany,Designer,Twitter/X,4,2.0,3,40.0,Smartphone,Evening (6-9pm),3607,535,1,17,3,2,10,Entertainment,Medium,0.109,Sometimes,8.39,Networking,Severe impact,7.1,No,Selected,Public,No,2024-09-27,Happy,Yes
USR00099,27,Female,India,Teacher,Pinterest,5,0.5,7,4.3,Smartphone,Evening (6-9pm),1281,4822,6,19,1,0,4,Entertainment,Medium,0.005,Sometimes,3.73,Learning,No impact,5.5,No,Selected,Private,No,2024-10-01,Bored,No
USR00100,25,Male,Pakistan,Designer,Snapchat,3,6.4,4,96.0,Smartphone,Late Night (12am+),13421,1023,3,27,4,1,11,News,Medium,0.154,Sometimes,13.6,Learning,Severe impact,2.4,Yes,Always On,Friends Only,Yes,2024-08-01,Happy,No
USR00101,15,Male,Canada,Teacher,Instagram,3,0.8,4,12.0,Smartphone,Night (9pm-12am),135,312,3,17,6,2,11,Stories,Fast,0.327,No,0.0,Socializing,Mild impact,4.8,No,Selected,Friends Only,No,2022-12-11,Relaxed,Occasionally
